Year,Country,Total Emissions
1750,CHN,0
1750,CIV,0
1750,CMR,0
1750,COG,0
1750,BOL,0
1750,COK,0
1750,COL,0
1750,COM,0
1750,CPV,0
1750,CRI,0
1750,CUB,0
1750,CUW,0
1750,CXR,0
1750,CYP,0
1750,CZE,0
1750,DEU,0
1750,BRA,0
1750,BMU,0
1750,DMA,0
1750,AUT,0
1750,AFG,0
1750,AGO,0
1750,AIA,0
1750,ALB,0
1750,AND,0
1750,ARE,0
1750,ARG,0
1750,ARM,0
1750,ATA,0
1750,ATG,0
1750,AUS,0
1750,AZE,0
1750,BLZ,0
1750,BDI,0
1750,BEL,0
1750,BEN,0
1750,BES,0
1750,BFA,0
1750,BGD,0
1750,BGR,0
1750,BHR,0
1750,BHS,0
1750,BIH,0
1750,BLR,0
1750,DJI,0
1750,DNK,0
1750,LBR,0
1750,JAM,0
1750,HRV,0
1750,HTI,0
1750,HUN,0
1750,IDN,0
1750,IND,0
1750,IRL,0
1750,IRN,0
1750,IRQ,0
1750,ISL,0
1750,ISR,0
1750,ITA,0
1750,JOR,0
1750,HKG,0
1750,JPN,0
1750,KAZ,0
1750,KEN,0
1750,KGZ,0
1750,KHM,0
1750,KIR,0
1750,KNA,0
1750,KOR,0
1750,KWT,0
1750,LAO,0
1750,LBN,0
1750,HND,0
1750,GUY,0
1750,DOM,0
1750,FSM,0
1750,DZA,0
1750,ECU,0
1750,EGY,0
1750,ERI,0
1750,ESP,0
1750,EST,0
1750,ETH,0
1750,FIN,0
1750,FJI,0
1750,FRA,0
1750,FRO,0
1750,GAB,0
1750,GUF,0
1750,GEO,0
1750,GHA,0
1750,GIN,0
1750,GLP,0
1750,GMB,0
1750,GNB,0
1750,GNQ,0
1750,GRC,0
1750,GRD,0
1750,GRL,0
1750,GTM,0
1750,ZWE,0
1751,OWID_WRL,9350528
1751,GBR,9350528
1751,LCA,0
1751,NER,0
1751,NGA,0
1751,NIC,0
1751,NIU,0
1751,NLD,0
1751,NOR,0
1751,NPL,0
1751,NRU,0
1751,NZL,0
1751,OMN,0
1751,OWID_KOS,0
1751,ABW,0
1751,PAK,0
1751,PAN,0
1751,PER,0
1751,PHL,0
1751,PLW,0
1751,PNG,0
1751,POL,0
1751,PRI,0
1751,PRK,0
1751,PRT,0
1751,PRY,0
1751,PSE,0
1751,NCL,0
1751,NAM,0
1751,MYT,0
1751,MHL,0
1751,LKA,0
1751,LSO,0
1751,LTU,0
1751,LUX,0
1751,LVA,0
1751,MAC,0
1751,MAR,0
1751,MDA,0
1751,MDG,0
1751,MDV,0
1751,MEX,0
1751,MKD,0
1751,MYS,0
1751,MLI,0
1751,MLT,0
1751,MMR,0
1751,MNE,0
1751,MNG,0
1751,MOZ,0
1751,MRT,0
1751,MSR,0
1751,MTQ,0
1751,MUS,0
1751,MWI,0
1751,PYF,0
1751,QAT,0
1751,REU,0
1751,URY,0
1751,TKM,0
1751,TLS,0
1751,TON,0
1751,TTO,0
1751,TUN,0
1751,TUR,0
1751,TUV,0
1751,TWN,0
1751,TZA,0
1751,UGA,0
1751,UKR,0
1751,USA,0
1751,THA,0
1751,UZB,0
1751,VCT,0
1751,VEN,0
1751,VGB,0
1751,VNM,0
1751,VUT,0
1751,WLF,0
1751,WSM,0
1751,YEM,0
1751,ZAF,0
1751,ZMB,0
1751,TJK,0
1751,TGO,0
1751,ROU,0
1751,SPM,0
1751,RUS,0
1751,RWA,0
1751,SAU,0
1751,SDN,0
1751,SEN,0
1751,SGP,0
1751,SHN,0
1751,SLB,0
1751,SLE,0
1751,SLV,0
1751,SOM,0
1751,SRB,0
1751,TCD,0
1751,SSD,0
1751,STP,0
1751,SUR,0
1751,SVK,0
1751,SVN,0
1751,SWE,0
1751,SWZ,0
1751,SXM,0
1751,SYC,0
1751,SYR,0
1751,TCA,0
1751,LIE,0
1751,LBY,0
1751,AF,0
1751,COD,0
1751,BRB,0
1751,BRN,0
1751,BTN,0
1751,BWA,0
1751,CAF,0
1751,CAN,0
1751,CHE,0
1751,CHL,0
1751,CHN,0
1751,CIV,0
1751,CMR,0
1751,COG,0
1751,BOL,0
1751,COK,0
1751,COL,0
1751,COM,0
1751,CPV,0
1751,CRI,0
1751,CUB,0
1751,CUW,0
1751,CXR,0
1751,CYP,0
1751,CZE,0
1751,DEU,0
1751,BRA,0
1751,BMU,0
1751,DMA,0
1751,AUT,0
1751,AFG,0
1751,AGO,0
1751,AIA,0
1751,ALB,0
1751,AND,0
1751,ARE,0
1751,ARG,0
1751,ARM,0
1751,ATA,0
1751,ATG,0
1751,AUS,0
1751,AZE,0
1751,BLZ,0
1751,BDI,0
1751,BEL,0
1751,BEN,0
1751,BES,0
1751,BFA,0
1751,BGD,0
1751,BGR,0
1751,BHR,0
1751,BHS,0
1751,BIH,0
1751,BLR,0
1751,DJI,0
1751,DNK,0
1751,LBR,0
1751,JAM,0
1751,HRV,0
1751,HTI,0
1751,HUN,0
1751,IDN,0
1751,IND,0
1751,IRL,0
1751,IRN,0
1751,IRQ,0
1751,ISL,0
1751,ISR,0
1751,ITA,0
1751,JOR,0
1751,HKG,0
1751,JPN,0
1751,KAZ,0
1751,KEN,0
1751,KGZ,0
1751,KHM,0
1751,KIR,0
1751,KNA,0
1751,KOR,0
1751,KWT,0
1751,LAO,0
1751,LBN,0
1751,HND,0
1751,GUY,0
1751,DOM,0
1751,FSM,0
1751,DZA,0
1751,ECU,0
1751,EGY,0
1751,ERI,0
1751,ESP,0
1751,EST,0
1751,ETH,0
1751,FIN,0
1751,FJI,0
1751,FRA,0
1751,FRO,0
1751,GAB,0
1751,GUF,0
1751,GEO,0
1751,GHA,0
1751,GIN,0
1751,GLP,0
1751,GMB,0
1751,GNB,0
1751,GNQ,0
1751,GRC,0
1751,GRD,0
1751,GRL,0
1751,GTM,0
1751,ZWE,0
1752,OWID_WRL,9354192
1752,GBR,9354192
1752,LCA,0
1752,NER,0
1752,NGA,0
1752,NIC,0
1752,NIU,0
1752,NLD,0
1752,NOR,0
1752,NPL,0
1752,NRU,0
1752,NZL,0
1752,OMN,0
1752,OWID_KOS,0
1752,ABW,0
1752,PAK,0
1752,PAN,0
1752,PER,0
1752,PHL,0
1752,PLW,0
1752,PNG,0
1752,POL,0
1752,PRI,0
1752,PRK,0
1752,PRT,0
1752,PRY,0
1752,PSE,0
1752,NCL,0
1752,NAM,0
1752,MYT,0
1752,MHL,0
1752,LKA,0
1752,LSO,0
1752,LTU,0
1752,LUX,0
1752,LVA,0
1752,MAC,0
1752,MAR,0
1752,MDA,0
1752,MDG,0
1752,MDV,0
1752,MEX,0
1752,MKD,0
1752,MYS,0
1752,MLI,0
1752,MLT,0
1752,MMR,0
1752,MNE,0
1752,MNG,0
1752,MOZ,0
1752,MRT,0
1752,MSR,0
1752,MTQ,0
1752,MUS,0
1752,MWI,0
1752,PYF,0
1752,QAT,0
1752,REU,0
1752,URY,0
1752,TKM,0
1752,TLS,0
1752,TON,0
1752,TTO,0
1752,TUN,0
1752,TUR,0
1752,TUV,0
1752,TWN,0
1752,TZA,0
1752,UGA,0
1752,UKR,0
1752,USA,0
1752,THA,0
1752,UZB,0
1752,VCT,0
1752,VEN,0
1752,VGB,0
1752,VNM,0
1752,VUT,0
1752,WLF,0
1752,WSM,0
1752,YEM,0
1752,ZAF,0
1752,ZMB,0
1752,TJK,0
1752,TGO,0
1752,ROU,0
1752,SPM,0
1752,RUS,0
1752,RWA,0
1752,SAU,0
1752,SDN,0
1752,SEN,0
1752,SGP,0
1752,SHN,0
1752,SLB,0
1752,SLE,0
1752,SLV,0
1752,SOM,0
1752,SRB,0
1752,TCD,0
1752,SSD,0
1752,STP,0
1752,SUR,0
1752,SVK,0
1752,SVN,0
1752,SWE,0
1752,SWZ,0
1752,SXM,0
1752,SYC,0
1752,SYR,0
1752,TCA,0
1752,LIE,0
1752,LBY,0
1752,AF,0
1752,COD,0
1752,BRB,0
1752,BRN,0
1752,BTN,0
1752,BWA,0
1752,CAF,0
1752,CAN,0
1752,CHE,0
1752,CHL,0
1752,CHN,0
1752,CIV,0
1752,CMR,0
1752,COG,0
1752,BOL,0
1752,COK,0
1752,COL,0
1752,COM,0
1752,CPV,0
1752,CRI,0
1752,CUB,0
1752,CUW,0
1752,CXR,0
1752,CYP,0
1752,CZE,0
1752,DEU,0
1752,BRA,0
1752,BMU,0
1752,DMA,0
1752,AUT,0
1752,AFG,0
1752,AGO,0
1752,AIA,0
1752,ALB,0
1752,AND,0
1752,ARE,0
1752,ARG,0
1752,ARM,0
1752,ATA,0
1752,ATG,0
1752,AUS,0
1752,AZE,0
1752,BLZ,0
1752,BDI,0
1752,BEL,0
1752,BEN,0
1752,BES,0
1752,BFA,0
1752,BGD,0
1752,BGR,0
1752,BHR,0
1752,BHS,0
1752,BIH,0
1752,BLR,0
1752,DJI,0
1752,DNK,0
1752,LBR,0
1752,JAM,0
1752,HRV,0
1752,HTI,0
1752,HUN,0
1752,IDN,0
1752,IND,0
1752,IRL,0
1752,IRN,0
1752,IRQ,0
1752,ISL,0
1752,ISR,0
1752,ITA,0
1752,JOR,0
1752,HKG,0
1752,JPN,0
1752,KAZ,0
1752,KEN,0
1752,KGZ,0
1752,KHM,0
1752,KIR,0
1752,KNA,0
1752,KOR,0
1752,KWT,0
1752,LAO,0
1752,LBN,0
1752,HND,0
1752,GUY,0
1752,DOM,0
1752,FSM,0
1752,DZA,0
1752,ECU,0
1752,EGY,0
1752,ERI,0
1752,ESP,0
1752,EST,0
1752,ETH,0
1752,FIN,0
1752,FJI,0
1752,FRA,0
1752,FRO,0
1752,GAB,0
1752,GUF,0
1752,GEO,0
1752,GHA,0
1752,GIN,0
1752,GLP,0
1752,GMB,0
1752,GNB,0
1752,GNQ,0
1752,GRC,0
1752,GRD,0
1752,GRL,0
1752,GTM,0
1752,ZWE,0
1753,OWID_WRL,9354192
1753,GBR,9354192
1753,LCA,0
1753,NER,0
1753,NGA,0
1753,NIC,0
1753,NIU,0
1753,NLD,0
1753,NOR,0
1753,NPL,0
1753,NRU,0
1753,NZL,0
1753,OMN,0
1753,OWID_KOS,0
1753,ABW,0
1753,PAK,0
1753,PAN,0
1753,PER,0
1753,PHL,0
1753,PLW,0
1753,PNG,0
1753,POL,0
1753,PRI,0
1753,PRK,0
1753,PRT,0
1753,PRY,0
1753,PSE,0
1753,NCL,0
1753,NAM,0
1753,MYT,0
1753,MHL,0
1753,LKA,0
1753,LSO,0
1753,LTU,0
1753,LUX,0
1753,LVA,0
1753,MAC,0
1753,MAR,0
1753,MDA,0
1753,MDG,0
1753,MDV,0
1753,MEX,0
1753,MKD,0
1753,MYS,0
1753,MLI,0
1753,MLT,0
1753,MMR,0
1753,MNE,0
1753,MNG,0
1753,MOZ,0
1753,MRT,0
1753,MSR,0
1753,MTQ,0
1753,MUS,0
1753,MWI,0
1753,PYF,0
1753,QAT,0
1753,REU,0
1753,URY,0
1753,TKM,0
1753,TLS,0
1753,TON,0
1753,TTO,0
1753,TUN,0
1753,TUR,0
1753,TUV,0
1753,TWN,0
1753,TZA,0
1753,UGA,0
1753,UKR,0
1753,USA,0
1753,THA,0
1753,UZB,0
1753,VCT,0
1753,VEN,0
1753,VGB,0
1753,VNM,0
1753,VUT,0
1753,WLF,0
1753,WSM,0
1753,YEM,0
1753,ZAF,0
1753,ZMB,0
1753,TJK,0
1753,TGO,0
1753,ROU,0
1753,SPM,0
1753,RUS,0
1753,RWA,0
1753,SAU,0
1753,SDN,0
1753,SEN,0
1753,SGP,0
1753,SHN,0
1753,SLB,0
1753,SLE,0
1753,SLV,0
1753,SOM,0
1753,SRB,0
1753,TCD,0
1753,SSD,0
1753,STP,0
1753,SUR,0
1753,SVK,0
1753,SVN,0
1753,SWE,0
1753,SWZ,0
1753,SXM,0
1753,SYC,0
1753,SYR,0
1753,TCA,0
1753,LIE,0
1753,LBY,0
1753,AF,0
1753,COD,0
1753,BRB,0
1753,BRN,0
1753,BTN,0
1753,BWA,0
1753,CAF,0
1753,CAN,0
1753,CHE,0
1753,CHL,0
1753,CHN,0
1753,CIV,0
1753,CMR,0
1753,COG,0
1753,BOL,0
1753,COK,0
1753,COL,0
1753,COM,0
1753,CPV,0
1753,CRI,0
1753,CUB,0
1753,CUW,0
1753,CXR,0
1753,CYP,0
1753,CZE,0
1753,DEU,0
1753,BRA,0
1753,BMU,0
1753,DMA,0
1753,AUT,0
1753,AFG,0
1753,AGO,0
1753,AIA,0
1753,ALB,0
1753,AND,0
1753,ARE,0
1753,ARG,0
1753,ARM,0
1753,ATA,0
1753,ATG,0
1753,AUS,0
1753,AZE,0
1753,BLZ,0
1753,BDI,0
1753,BEL,0
1753,BEN,0
1753,BES,0
1753,BFA,0
1753,BGD,0
1753,BGR,0
1753,BHR,0
1753,BHS,0
1753,BIH,0
1753,BLR,0
1753,DJI,0
1753,DNK,0
1753,LBR,0
1753,JAM,0
1753,HRV,0
1753,HTI,0
1753,HUN,0
1753,IDN,0
1753,IND,0
1753,IRL,0
1753,IRN,0
1753,IRQ,0
1753,ISL,0
1753,ISR,0
1753,ITA,0
1753,JOR,0
1753,HKG,0
1753,JPN,0
1753,KAZ,0
1753,KEN,0
1753,KGZ,0
1753,KHM,0
1753,KIR,0
1753,KNA,0
1753,KOR,0
1753,KWT,0
1753,LAO,0
1753,LBN,0
1753,HND,0
1753,GUY,0
1753,DOM,0
1753,FSM,0
1753,DZA,0
1753,ECU,0
1753,EGY,0
1753,ERI,0
1753,ESP,0
1753,EST,0
1753,ETH,0
1753,FIN,0
1753,FJI,0
1753,FRA,0
1753,FRO,0
1753,GAB,0
1753,GUF,0
1753,GEO,0
1753,GHA,0
1753,GIN,0
1753,GLP,0
1753,GMB,0
1753,GNB,0
1753,GNQ,0
1753,GRC,0
1753,GRD,0
1753,GRL,0
1753,GTM,0
1753,ZWE,0
1754,OWID_WRL,9357856
1754,GBR,9357856
1754,LCA,0
1754,NER,0
1754,NGA,0
1754,NIC,0
1754,NIU,0
1754,NLD,0
1754,NOR,0
1754,NPL,0
1754,NRU,0
1754,NZL,0
1754,OMN,0
1754,OWID_KOS,0
1754,ABW,0
1754,PAK,0
1754,PAN,0
1754,PER,0
1754,PHL,0
1754,PLW,0
1754,PNG,0
1754,POL,0
1754,PRI,0
1754,PRK,0
1754,PRT,0
1754,PRY,0
1754,PSE,0
1754,NCL,0
1754,NAM,0
1754,MYT,0
1754,MHL,0
1754,LKA,0
1754,LSO,0
1754,LTU,0
1754,LUX,0
1754,LVA,0
1754,MAC,0
1754,MAR,0
1754,MDA,0
1754,MDG,0
1754,MDV,0
1754,MEX,0
1754,MKD,0
1754,MYS,0
1754,MLI,0
1754,MLT,0
1754,MMR,0
1754,MNE,0
1754,MNG,0
1754,MOZ,0
1754,MRT,0
1754,MSR,0
1754,MTQ,0
1754,MUS,0
1754,MWI,0
1754,PYF,0
1754,QAT,0
1754,REU,0
1754,URY,0
1754,TKM,0
1754,TLS,0
1754,TON,0
1754,TTO,0
1754,TUN,0
1754,TUR,0
1754,TUV,0
1754,TWN,0
1754,TZA,0
1754,UGA,0
1754,UKR,0
1754,USA,0
1754,THA,0
1754,UZB,0
1754,VCT,0
1754,VEN,0
1754,VGB,0
1754,VNM,0
1754,VUT,0
1754,WLF,0
1754,WSM,0
1754,YEM,0
1754,ZAF,0
1754,ZMB,0
1754,TJK,0
1754,TGO,0
1754,ROU,0
1754,SPM,0
1754,RUS,0
1754,RWA,0
1754,SAU,0
1754,SDN,0
1754,SEN,0
1754,SGP,0
1754,SHN,0
1754,SLB,0
1754,SLE,0
1754,SLV,0
1754,SOM,0
1754,SRB,0
1754,TCD,0
1754,SSD,0
1754,STP,0
1754,SUR,0
1754,SVK,0
1754,SVN,0
1754,SWE,0
1754,SWZ,0
1754,SXM,0
1754,SYC,0
1754,SYR,0
1754,TCA,0
1754,LIE,0
1754,LBY,0
1754,AF,0
1754,COD,0
1754,BRB,0
1754,BRN,0
1754,BTN,0
1754,BWA,0
1754,CAF,0
1754,CAN,0
1754,CHE,0
1754,CHL,0
1754,CHN,0
1754,CIV,0
1754,CMR,0
1754,COG,0
1754,BOL,0
1754,COK,0
1754,COL,0
1754,COM,0
1754,CPV,0
1754,CRI,0
1754,CUB,0
1754,CUW,0
1754,CXR,0
1754,CYP,0
1754,CZE,0
1754,DEU,0
1754,BRA,0
1754,BMU,0
1754,DMA,0
1754,AUT,0
1754,AFG,0
1754,AGO,0
1754,AIA,0
1754,ALB,0
1754,AND,0
1754,ARE,0
1754,ARG,0
1754,ARM,0
1754,ATA,0
1754,ATG,0
1754,AUS,0
1754,AZE,0
1754,BLZ,0
1754,BDI,0
1754,BEL,0
1754,BEN,0
1754,BES,0
1754,BFA,0
1754,BGD,0
1754,BGR,0
1754,BHR,0
1754,BHS,0
1754,BIH,0
1754,BLR,0
1754,DJI,0
1754,DNK,0
1754,LBR,0
1754,JAM,0
1754,HRV,0
1754,HTI,0
1754,HUN,0
1754,IDN,0
1754,IND,0
1754,IRL,0
1754,IRN,0
1754,IRQ,0
1754,ISL,0
1754,ISR,0
1754,ITA,0
1754,JOR,0
1754,HKG,0
1754,JPN,0
1754,KAZ,0
1754,KEN,0
1754,KGZ,0
1754,KHM,0
1754,KIR,0
1754,KNA,0
1754,KOR,0
1754,KWT,0
1754,LAO,0
1754,LBN,0
1754,HND,0
1754,GUY,0
1754,DOM,0
1754,FSM,0
1754,DZA,0
1754,ECU,0
1754,EGY,0
1754,ERI,0
1754,ESP,0
1754,EST,0
1754,ETH,0
1754,FIN,0
1754,FJI,0
1754,FRA,0
1754,FRO,0
1754,GAB,0
1754,GUF,0
1754,GEO,0
1754,GHA,0
1754,GIN,0
1754,GLP,0
1754,GMB,0
1754,GNB,0
1754,GNQ,0
1754,GRC,0
1754,GRD,0
1754,GRL,0
1754,GTM,0
1754,ZWE,0
1755,OWID_WRL,9361520
1755,GBR,9361520
1755,LCA,0
1755,NER,0
1755,NGA,0
1755,NIC,0
1755,NIU,0
1755,NLD,0
1755,NOR,0
1755,NPL,0
1755,NRU,0
1755,NZL,0
1755,OMN,0
1755,OWID_KOS,0
1755,ABW,0
1755,PAK,0
1755,PAN,0
1755,PER,0
1755,PHL,0
1755,PLW,0
1755,PNG,0
1755,POL,0
1755,PRI,0
1755,PRK,0
1755,PRT,0
1755,PRY,0
1755,PSE,0
1755,NCL,0
1755,NAM,0
1755,MYT,0
1755,MHL,0
1755,LKA,0
1755,LSO,0
1755,LTU,0
1755,LUX,0
1755,LVA,0
1755,MAC,0
1755,MAR,0
1755,MDA,0
1755,MDG,0
1755,MDV,0
1755,MEX,0
1755,MKD,0
1755,MYS,0
1755,MLI,0
1755,MLT,0
1755,MMR,0
1755,MNE,0
1755,MNG,0
1755,MOZ,0
1755,MRT,0
1755,MSR,0
1755,MTQ,0
1755,MUS,0
1755,MWI,0
1755,PYF,0
1755,QAT,0
1755,REU,0
1755,URY,0
1755,TKM,0
1755,TLS,0
1755,TON,0
1755,TTO,0
1755,TUN,0
1755,TUR,0
1755,TUV,0
1755,TWN,0
1755,TZA,0
1755,UGA,0
1755,UKR,0
1755,USA,0
1755,THA,0
1755,UZB,0
1755,VCT,0
1755,VEN,0
1755,VGB,0
1755,VNM,0
1755,VUT,0
1755,WLF,0
1755,WSM,0
1755,YEM,0
1755,ZAF,0
1755,ZMB,0
1755,TJK,0
1755,TGO,0
1755,ROU,0
1755,SPM,0
1755,RUS,0
1755,RWA,0
1755,SAU,0
1755,SDN,0
1755,SEN,0
1755,SGP,0
1755,SHN,0
1755,SLB,0
1755,SLE,0
1755,SLV,0
1755,SOM,0
1755,SRB,0
1755,TCD,0
1755,SSD,0
1755,STP,0
1755,SUR,0
1755,SVK,0
1755,SVN,0
1755,SWE,0
1755,SWZ,0
1755,SXM,0
1755,SYC,0
1755,SYR,0
1755,TCA,0
1755,LIE,0
1755,LBY,0
1755,AF,0
1755,COD,0
1755,BRB,0
1755,BRN,0
1755,BTN,0
1755,BWA,0
1755,CAF,0
1755,CAN,0
1755,CHE,0
1755,CHL,0
1755,CHN,0
1755,CIV,0
1755,CMR,0
1755,COG,0
1755,BOL,0
1755,COK,0
1755,COL,0
1755,COM,0
1755,CPV,0
1755,CRI,0
1755,CUB,0
1755,CUW,0
1755,CXR,0
1755,CYP,0
1755,CZE,0
1755,DEU,0
1755,BRA,0
1755,BMU,0
1755,DMA,0
1755,AUT,0
1755,AFG,0
1755,AGO,0
1755,AIA,0
1755,ALB,0
1755,AND,0
1755,ARE,0
1755,ARG,0
1755,ARM,0
1755,ATA,0
1755,ATG,0
1755,AUS,0
1755,AZE,0
1755,BLZ,0
1755,BDI,0
1755,BEL,0
1755,BEN,0
1755,BES,0
1755,BFA,0
1755,BGD,0
1755,BGR,0
1755,BHR,0
1755,BHS,0
1755,BIH,0
1755,BLR,0
1755,DJI,0
1755,DNK,0
1755,LBR,0
1755,JAM,0
1755,HRV,0
1755,HTI,0
1755,HUN,0
1755,IDN,0
1755,IND,0
1755,IRL,0
1755,IRN,0
1755,IRQ,0
1755,ISL,0
1755,ISR,0
1755,ITA,0
1755,JOR,0
1755,HKG,0
1755,JPN,0
1755,KAZ,0
1755,KEN,0
1755,KGZ,0
1755,KHM,0
1755,KIR,0
1755,KNA,0
1755,KOR,0
1755,KWT,0
1755,LAO,0
1755,LBN,0
1755,HND,0
1755,GUY,0
1755,DOM,0
1755,FSM,0
1755,DZA,0
1755,ECU,0
1755,EGY,0
1755,ERI,0
1755,ESP,0
1755,EST,0
1755,ETH,0
1755,FIN,0
1755,FJI,0
1755,FRA,0
1755,FRO,0
1755,GAB,0
1755,GUF,0
1755,GEO,0
1755,GHA,0
1755,GIN,0
1755,GLP,0
1755,GMB,0
1755,GNB,0
1755,GNQ,0
1755,GRC,0
1755,GRD,0
1755,GRL,0
1755,GTM,0
1755,ZWE,0
1756,OWID_WRL,10006384
1756,GBR,10006384
1756,LCA,0
1756,NER,0
1756,NGA,0
1756,NIC,0
1756,NIU,0
1756,NLD,0
1756,NOR,0
1756,NPL,0
1756,NRU,0
1756,NZL,0
1756,OMN,0
1756,OWID_KOS,0
1756,ABW,0
1756,PAK,0
1756,PAN,0
1756,PER,0
1756,PHL,0
1756,PLW,0
1756,PNG,0
1756,POL,0
1756,PRI,0
1756,PRK,0
1756,PRT,0
1756,PRY,0
1756,PSE,0
1756,NCL,0
1756,NAM,0
1756,MYT,0
1756,MHL,0
1756,LKA,0
1756,LSO,0
1756,LTU,0
1756,LUX,0
1756,LVA,0
1756,MAC,0
1756,MAR,0
1756,MDA,0
1756,MDG,0
1756,MDV,0
1756,MEX,0
1756,MKD,0
1756,MYS,0
1756,MLI,0
1756,MLT,0
1756,MMR,0
1756,MNE,0
1756,MNG,0
1756,MOZ,0
1756,MRT,0
1756,MSR,0
1756,MTQ,0
1756,MUS,0
1756,MWI,0
1756,PYF,0
1756,QAT,0
1756,REU,0
1756,URY,0
1756,TKM,0
1756,TLS,0
1756,TON,0
1756,TTO,0
1756,TUN,0
1756,TUR,0
1756,TUV,0
1756,TWN,0
1756,TZA,0
1756,UGA,0
1756,UKR,0
1756,USA,0
1756,THA,0
1756,UZB,0
1756,VCT,0
1756,VEN,0
1756,VGB,0
1756,VNM,0
1756,VUT,0
1756,WLF,0
1756,WSM,0
1756,YEM,0
1756,ZAF,0
1756,ZMB,0
1756,TJK,0
1756,TGO,0
1756,ROU,0
1756,SPM,0
1756,RUS,0
1756,RWA,0
1756,SAU,0
1756,SDN,0
1756,SEN,0
1756,SGP,0
1756,SHN,0
1756,SLB,0
1756,SLE,0
1756,SLV,0
1756,SOM,0
1756,SRB,0
1756,TCD,0
1756,SSD,0
1756,STP,0
1756,SUR,0
1756,SVK,0
1756,SVN,0
1756,SWE,0
1756,SWZ,0
1756,SXM,0
1756,SYC,0
1756,SYR,0
1756,TCA,0
1756,LIE,0
1756,LBY,0
1756,AF,0
1756,COD,0
1756,BRB,0
1756,BRN,0
1756,BTN,0
1756,BWA,0
1756,CAF,0
1756,CAN,0
1756,CHE,0
1756,CHL,0
1756,CHN,0
1756,CIV,0
1756,CMR,0
1756,COG,0
1756,BOL,0
1756,COK,0
1756,COL,0
1756,COM,0
1756,CPV,0
1756,CRI,0
1756,CUB,0
1756,CUW,0
1756,CXR,0
1756,CYP,0
1756,CZE,0
1756,DEU,0
1756,BRA,0
1756,BMU,0
1756,DMA,0
1756,AUT,0
1756,AFG,0
1756,AGO,0
1756,AIA,0
1756,ALB,0
1756,AND,0
1756,ARE,0
1756,ARG,0
1756,ARM,0
1756,ATA,0
1756,ATG,0
1756,AUS,0
1756,AZE,0
1756,BLZ,0
1756,BDI,0
1756,BEL,0
1756,BEN,0
1756,BES,0
1756,BFA,0
1756,BGD,0
1756,BGR,0
1756,BHR,0
1756,BHS,0
1756,BIH,0
1756,BLR,0
1756,DJI,0
1756,DNK,0
1756,LBR,0
1756,JAM,0
1756,HRV,0
1756,HTI,0
1756,HUN,0
1756,IDN,0
1756,IND,0
1756,IRL,0
1756,IRN,0
1756,IRQ,0
1756,ISL,0
1756,ISR,0
1756,ITA,0
1756,JOR,0
1756,HKG,0
1756,JPN,0
1756,KAZ,0
1756,KEN,0
1756,KGZ,0
1756,KHM,0
1756,KIR,0
1756,KNA,0
1756,KOR,0
1756,KWT,0
1756,LAO,0
1756,LBN,0
1756,HND,0
1756,GUY,0
1756,DOM,0
1756,FSM,0
1756,DZA,0
1756,ECU,0
1756,EGY,0
1756,ERI,0
1756,ESP,0
1756,EST,0
1756,ETH,0
